username,password,baslik,ad,soyad,telefon,adrestext,tc,postakodu,control,data
USERNAME-3,PASSWORD-3,,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen adres başlığını giriniz.,"Adres Başlığını giriniz"
USERNAME-3,PASSWORD-3,TEKNOSA,,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen adınızı giriniz.,"Adınızı giriniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen soyadınızı giriniz.,"Soyadınızı giriniz"
USERNAME-3,PASSWORD-3,TEKNOSA,T,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen en az 2 harf giriniz.,"Adınızı Eksik Harf"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,O,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen en az 2 harf giriniz.,"Soyad Eksik Harf"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen telefon numaranızı giriniz.,"Telefon numaranızı giriniz."
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,4556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Telefon numaranız 5 ile başlamalıdır.,"Hatalı Telefon Numarası"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,555641332,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Geçerli bir cep telefonu numarası giriniz.,"Eksik Telefon Numarası"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen il seçiniz.,"İl seçiniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen ilçe seçiniz.,"İlçe seçiniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,75214032352,34846,Lütfen mahalle seçiniz.,"Mahalle seçiniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,,75214032352,34846,Lütfen adresinizi giriniz.,"Adresinizi giriniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,C,75214032352,34846,Adres uzunluğu en az 5 karakter olmalıdır.,"Adres Uzunluk Kontrol"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,,34846,Lütfen TC Kimlik numaranızı giriniz.,"TC Kimlik numaranızı giriniz"
USERNAME-3,PASSWORD-3,TEKNOSA,Test,Otomasyon,5556413322,Carrefoursa Plaza Tugay Yolu Cad. No:67 Blok B,7521403235,34846,Doğru bir TC Kimlik numarası giriniz.,"Hatalı TC Kimlik numarası"
